2 231 440
0 224 431
1 184 464
6 232 471
2 184 431
1 194 464
4 232 431
0 222 432
2 185 472
8 233 464
4 185 432
2 195 466
1 233 434
0 223 433
3 190 473
7 234 466
1 190 433
3 200 475
5 234 443
0 225 434
4 188 466
10 235 475
5 188 434
4 198 474
3 235 444
0 204 435
5 199 465
9 236 474
3 253 435
5 204 465
12 236 435
2 231 436
6 191 476
17 237 465
12 191 436
6 205 478
11 237 447
1 201 437
7 193 467
18 238 478
11 251 437
7 201 468
14 238 428
4 202 438
8 192 480
21 239 468
14 252 438
8 202 482
13 239 451
3 232 439
9 194 470
22 240 482
13 194 439
9 207 481
15 240 450
5 208 440
10 197 471
25 241 481
15 256 440
10 208 472
6 241 432
1 209 441
11 196 484
16 242 472
6 257 441
11 209 473
8 242 433
2 233 442
12 195 483
20 243 473
8 195 442
12 206 485
7 243 455
3 235 443
13 198 475
19 244 485
7 198 443
13 203 477
10 244 454
4 234 444
14 200 474
24 245 477
10 200 444
14 210 476
9 245 436
5 218 445
15 211 486
23 246 476
9 254 445
15 218 469
17 246 429
6 220 446
16 215 479
31 247 469
17 259 446
16 220 487
27 247 459
12 216 447
17 212 478
38 248 487
27 260 447
17 216 479
26 248 446
11 219 448
18 213 480
37 249 438
26 255 449
18 219 488
18 249 457
7 217 450
19 214 481
32 250 488
18 258 450
19 217 493
21 250 460
8 246 451
20 211 482
33 251 493
21 248 451
20 212 483
29 252 442
14 247 452
21 215 484
40 253 441
29 237 453
21 205 489
28 254 458
13 205 454
22 218 477
45 254 489
28 240 454
22 207 490
22 255 461
9 207 455
23 219 485
34 255 490
22 249 455
23 213 486
25 256 445
10 250 456
24 214 488
35 257 498
25 244 457
24 203 489
30 258 500
15 203 458
25 217 487
43 258 497
30 245 459
25 210 493
16 259 499
11 210 460
26 220 490
36 259 501
16 243 461
26 206 503
20 260 502
12 206 462
27 216 468
39 260 503
20 227 462
27 221 469
19 261 504
13 274 463
28 227 504
44 261 505
19 226 463
28 222 507
24 262 506
14 271 464
29 226 472
41 262 507
24 230 464
29 225 510
23 263 509
15 273 465
30 230 476
42 263 510
23 228 465
30 224 473
38 264 508
17 275 466
31 228 508
52 264 511
38 229 466
31 223 462
37 265 502
18 272 467
32 229 502
53 265 512
37 261 467
32 221 513
40 266 503
21 221 468
33 231 480
56 266 513
40 264 468
33 224 514
45 267 504
22 224 469
34 232 479
57 267 514
45 262 469
34 222 463
43 268 505
